"","ticker","etf_name"
"1","069500","KODEX 200"
"2","122630","KODEX ·¹¹ö¸®Áö"
"3","102110","TIGER 200"
"4","252670","KODEX 200¼±¹°ÀÎ¹ö½º2X"
"5","153130","KODEX ´Ü±âÃ¤±Ç"
"6","157450","TIGER ´Ü±âÅë¾ÈÃ¤"
"7","261220","KODEX WTI¿øÀ¯¼±¹°(H)"
"8","273130","KODEX Á¾ÇÕÃ¤±Ç(AA-ÀÌ»ó)¾×Æ¼ºê"
"9","148020","KBSTAR 200"
"10","233740","KODEX ÄÚ½º´Ú150 ·¹¹ö¸®Áö"
"11","114800","KODEX ÀÎ¹ö½º"
"12","278530","KODEX 200TR"
"13","102780","KODEX »ï¼º±×·ì"
"14","293180","HANARO 200"
"15","214980","KODEX ´Ü±âÃ¤±ÇPLUS"
"16","292150","TIGER TOP10"
"17","278540","KODEX MSCI Korea TR"
"18","152100","ARIRANG 200"
"19","310970","TIGER MSCI Korea TR"
"20","105190","KINDEX 200"
"21","251340","KODEX ÄÚ½º´Ú150¼±¹°ÀÎ¹ö½º"
"22","069660","KOSEF 200"
"23","229200","KODEX ÄÚ½º´Ú 150"
"24","226490","KODEX ÄÚ½ºÇÇ"
"25","272580","TIGER ´Ü±âÃ¤±Ç¾×Æ¼ºê"
"26","315930","KODEX Top5PlusTR"
"27","190620","KINDEX ´Ü±âÅë¾ÈÃ¤"
"28","130680","TIGER ¿øÀ¯¼±¹°Enhanced(H)"
"29","294400","KOSEF 200TR"
"30","251350","KODEX ¼±Áø±¹MSCI World"
"31","306540","HANARO ´Ü±âÅë¾ÈÃ¤"
"32","232080","TIGER ÄÚ½º´Ú150"
"33","139260","TIGER 200 IT"
"34","315960","KBSTAR ´ëÇü°í¹è´ç10TR"
"35","302450","KBSTAR ÄÚ½ºÇÇ"
"36","295040","SMART 200TR"
"37","148070","KOSEF ±¹°íÃ¤10³â"
"38","204480","TIGER Â÷ÀÌ³ªCSI300·¹¹ö¸®Áö(ÇÕ¼º)"
"39","133690","TIGER ¹Ì±¹³ª½º´Ú100"
"40","192090","TIGER Â÷ÀÌ³ªCSI300"
"41","168580","KINDEX Áß±¹º»ÅäCSI300"
"42","161510","ARIRANG °í¹è´çÁÖ"
"43","245710","KINDEX º£Æ®³²VN30(ÇÕ¼º)"
"44","190160","ARIRANG ´Ü±âÀ¯µ¿¼º"
"45","270810","KBSTAR ÄÚ½º´Ú150"
"46","132030","KODEX °ñµå¼±¹°(H)"
"47","150460","TIGER Áß±¹¼ÒºñÅ×¸¶"
"48","196230","KBSTAR ´Ü±âÅë¾ÈÃ¤"
"49","275980","TIGER ±Û·Î¹ú4Â÷»ê¾÷Çõ½Å±â¼ú(ÇÕ¼º H)"
"50","278240","KBSTAR ÄÚ½º´Ú150¼±¹°·¹¹ö¸®Áö"
"51","143860","TIGER Çï½ºÄÉ¾î"
"52","139280","TIGER °æ±â¹æ¾î"
"53","332930","HANARO 200TR"
"54","332940","HANARO MSCI Korea TR"
"55","143850","TIGER ¹Ì±¹S&P500¼±¹°(H)"
"56","325020","KODEX ¹è´ç°¡Ä¡"
"57","273140","KODEX ´Ü±âº¯µ¿±Ý¸®ºÎÃ¤±Ç¾×Æ¼ºê"
"58","332500","KINDEX 200TR"
"59","267770","TIGER 200¼±¹°·¹¹ö¸®Áö"
"60","233160","TIGER ÄÚ½º´Ú150 ·¹¹ö¸®Áö"
"61","277630","TIGER ÄÚ½ºÇÇ"
"62","252710","TIGER 200¼±¹°ÀÎ¹ö½º2X"
"63","144600","KODEX Àº¼±¹°(H)"
"64","225040","TIGER ¹Ì±¹S&P500·¹¹ö¸®Áö(ÇÕ¼º H)"
"65","325010","KODEX Fn¼ºÀå"
"66","114260","KODEX ±¹°íÃ¤3³â"
"67","292190","KODEX KRX300"
"68","328370","ARIRANG ÄÚ½ºÇÇTR"
"69","219480","KODEX ¹Ì±¹S&P500¼±¹°(H)"
"70","305540","TIGER 2Â÷ÀüÁöÅ×¸¶"
"71","122090","ARIRANG ÄÚ½ºÇÇ50"
"72","272560","KBSTAR ´Ü±â±¹°øÃ¤¾×Æ¼ºê"
"73","245360","TIGER Â÷ÀÌ³ªHSCEI"
"74","219390","KBSTAR ¹Ì±¹S&P¿øÀ¯»ý»ê±â¾÷(ÇÕ¼º H)"
"75","261240","KODEX ¹Ì±¹´Þ·¯¼±¹°"
"76","305720","KODEX 2Â÷ÀüÁö»ê¾÷"
"77","285000","KBSTAR 200IT"
